age,sex,acmr,disability_rate,acmr_apc,expenditure_rate,expenditure_rate_death,income,income_death,tax_rate,super_rate,excise_rate,gst_rate
61,female,0.004886484,0.180058977,-0.015,4793.18392,78072.2297,62875.25644,5926.090038,0.264483115,0,2831.354189,0.190917292
62,female,0.004886484,0.180058977,-0.015,4793.18392,78072.2297,62875.25644,5926.090038,0.264483115,0,2831.354189,0.190917292
63,female,0.004886484,0.180058977,-0.015,4793.18392,78072.2297,62875.25644,5926.090038,0.264483115,0,2831.354189,0.190917292
64,female,0.004886484,0.180058977,-0.015,4793.18392,78072.2297,62875.25644,5926.090038,0.264483115,0,2831.354189,0.190917292
65,female,0.008781876,0.200597582,-0.015,6358.642509,75186.87464,0,0,0.264483115,19873.54081,2831.354189,0.190917292
66,female,0.008781876,0.200597582,-0.015,6358.642509,75186.87464,0,0,0.264483115,19873.54081,2831.354189,0.190917292
67,female,0.008781876,0.200597582,-0.015,6358.642509,75186.87464,0,0,0.264483115,19873.54081,2831.354189,0.190917292
68,female,0.008781876,0.200597582,-0.015,6358.642509,75186.87464,0,0,0.264483115,19873.54081,2831.354189,0.190917292
69,female,0.008781876,0.200597582,-0.015,6358.642509,75186.87464,0,0,0.264483115,19873.54081,2831.354189,0.190917292
70,female,0.014611106,0.229661186,-0.015,7617.148435,66117.60398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
71,female,0.014611106,0.229661186,-0.015,7617.148435,66117.60398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
72,female,0.014611106,0.229661186,-0.015,7617.148435,66117.60398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
73,female,0.014611106,0.229661186,-0.015,7617.148435,66117.60398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
74,female,0.014611106,0.229661186,-0.015,7617.148435,66117.60398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
75,female,0.025344061,0.262473087,-0.015,8899.266104,48604.77389,0,0,0.264483115,19873.54081,2831.354189,0.190917292
76,female,0.025344061,0.262473087,-0.015,8899.266104,48604.77389,0,0,0.264483115,19873.54081,2831.354189,0.190917292
77,female,0.025344061,0.262473087,-0.015,8899.266104,48604.77389,0,0,0.264483115,19873.54081,2831.354189,0.190917292
78,female,0.025344061,0.262473087,-0.015,8899.266104,48604.77389,0,0,0.264483115,19873.54081,2831.354189,0.190917292
79,female,0.025344061,0.262473087,-0.015,8899.266104,48604.77389,0,0,0.264483115,19873.54081,2831.354189,0.190917292
80,female,0.048439092,0.30663266,-0.015,9914.571072,38999.51665,0,0,0.264483115,19873.54081,2831.354189,0.190917292
81,female,0.048439092,0.30663266,-0.015,9914.571072,38999.51665,0,0,0.264483115,19873.54081,2831.354189,0.190917292
82,female,0.048439092,0.30663266,-0.015,9914.571072,38999.51665,0,0,0.264483115,19873.54081,2831.354189,0.190917292
83,female,0.048439092,0.30663266,-0.015,9914.571072,38999.51665,0,0,0.264483115,19873.54081,2831.354189,0.190917292
84,female,0.048439092,0.30663266,-0.015,9914.571072,38999.51665,0,0,0.264483115,19873.54081,2831.354189,0.190917292
85,female,0.095709273,0.354949749,-0.015,10351.38832,29564.26398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
86,female,0.095709273,0.354949749,-0.015,10351.38832,29564.26398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
87,female,0.095709273,0.354949749,-0.015,10351.38832,29564.26398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
88,female,0.095709273,0.354949749,-0.015,10351.38832,29564.26398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
89,female,0.095709273,0.354949749,-0.015,10351.38832,29564.26398,0,0,0.264483115,19873.54081,2831.354189,0.190917292
90,female,0.168428151,0.402299033,-0.015,10030.26861,22235.1788,0,0,0.264483115,19873.54081,2831.354189,0.190917292
91,female,0.168428151,0.402299033,-0.015,10030.26861,22235.1788,0,0,0.264483115,19873.54081,2831.354189,0.190917292
92,female,0.168428151,0.402299033,-0.015,10030.26861,22235.1788,0,0,0.264483115,19873.54081,2831.354189,0.190917292
93,female,0.168428151,0.402299033,-0.015,10030.26861,22235.1788,0,0,0.264483115,19873.54081,2831.354189,0.190917292
94,female,0.168428151,0.402299033,-0.015,10030.26861,22235.1788,0,0,0.264483115,19873.54081,2831.354189,0.190917292
95,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
96,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
97,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
98,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
99,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
100,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
101,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
102,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
103,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
104,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
105,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
106,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
107,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
108,female,0.297482927,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
109,female,10000,0.453236222,-0.015,8611.202835,14053.70969,0,0,0.264483115,19873.54081,2831.354189,0.190917292
0,male,0.000222654,0.031317319,-0.015,13945.09568,142277.2825,0,0,0.264483115,0,0,0.190917292
1,male,0.000222654,0.031317319,-0.015,13945.09568,142277.2825,0,0,0.264483115,0,0,0.190917292
2,male,0.000222654,0.031317319,-0.015,13945.09568,142277.2825,0,0,0.264483115,0,0,0.190917292
3,male,0.000222654,0.031317319,-0.015,13945.09568,142277.2825,0,0,0.264483115,0,0,0.190917292
4,male,0.000222654,0.031317319,-0.015,13945.09568,142277.2825,0,0,0.264483115,0,0,0.190917292
5,male,8.39E-05,0.038554195,-0.015,1383.648165,55615.1005,0,0,0.264483115,0,0,0.190917292
6,male,8.39E-05,0.038554195,-0.015,1383.648165,55615.1005,0,0,0.264483115,0,0,0.190917292
7,male,8.39E-05,0.038554195,-0.015,1383.648165,55615.1005,0,0,0.264483115,0,0,0.190917292
8,male,8.39E-05,0.038554195,-0.015,1383.648165,55615.1005,0,0,0.264483115,0,0,0.190917292
9,male,8.39E-05,0.038554195,-0.015,1383.648165,55615.1005,0,0,0.264483115,0,0,0.190917292
10,male,0.00022319,0.051122643,-0.015,1329.341156,90281.86223,0,0,0.264483115,0,0,0.190917292
11,male,0.00022319,0.051122643,-0.015,1329.341156,90281.86223,0,0,0.264483115,0,0,0.190917292
12,male,0.00022319,0.051122643,-0.015,1329.341156,90281.86223,0,0,0.264483115,0,0,0.190917292
13,male,0.00022319,0.051122643,-0.015,1329.341156,90281.86223,0,0,0.264483115,0,0,0.190917292
14,male,0.00022319,0.051122643,-0.015,1329.341156,90281.86223,0,0,0.264483115,0,0,0.190917292
15,male,0.00057487,0.066549774,-0.015,1409.621084,38158.93859,0,0,0.264483115,0,0,0.190917292
16,male,0.00057487,0.066549774,-0.015,1409.621084,38158.93859,0,0,0.264483115,0,0,0.190917292
17,male,0.00057487,0.066549774,-0.015,1409.621084,38158.93859,0,0,0.264483115,0,0,0.190917292
18,male,0.00057487,0.066549774,-0.015,1409.621084,38158.93859,0,0,0.264483115,0,0,0.190917292
19,male,0.00057487,0.066549774,-0.015,1409.621084,38158.93859,0,0,0.264483115,0,0,0.190917292
20,male,0.000873811,0.082174291,-0.015,1473.372791,20107.76071,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
21,male,0.000873811,0.082174291,-0.015,1473.372791,20107.76071,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
22,male,0.000873811,0.082174291,-0.015,1473.372791,20107.76071,55001.69897,14303.09385,0.264483115,0,2831.354189,0.190917292
